                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6068,                 1.4423,                 1.1803,                0.45727,                0.27824,                 0.2752,                0.13789,                 1.4699,                0.92758,                 1.0726,             0.00029388,             0.00029388,             0.00029388
                      2,                 1.4233,                0.95497,                 1.0721,                0.50979,                  0.316,                0.32108,                 0.1638,                 1.4049,                0.87414,                 1.0501,             0.00055878,             0.00055878,             0.00055878
                      3,                 1.3792,                0.88367,                 1.0561,                0.63292,                0.32639,                0.35638,                0.17933,                 1.4278,                0.83483,                 1.0556,             0.00052979,             0.00052979,             0.00052979
                      4,                 1.3568,                0.85193,                 1.0442,                0.62568,                0.34647,                0.37332,                0.18799,                 1.4091,                0.81658,                  1.049,             0.00052979,             0.00052979,             0.00052979
                      5,                 1.3376,                0.82218,                 1.0378,                0.59396,                0.37223,                0.37782,                 0.1963,                 1.3278,                0.80674,                 1.0194,             0.00050068,             0.00050068,             0.00050068
                      6,                 1.3166,                0.80041,                 1.0283,                0.59361,                0.38673,                0.40424,                0.20561,                 1.3378,                0.77272,                 1.0256,             0.00047158,             0.00047158,             0.00047158
                      7,                  1.304,                 0.7835,                 1.0214,                0.57796,                0.37426,                0.38824,                0.19909,                 1.3423,                0.77074,                 1.0274,             0.00044247,             0.00044247,             0.00044247
                      8,                 1.2938,                0.76701,                 1.0201,                0.61783,                0.38572,                0.40809,                0.21512,                 1.3116,                0.75043,                 1.0126,             0.00041336,             0.00041336,             0.00041336
                      9,                 1.2791,                0.75052,                 1.0085,                0.62004,                0.39624,                0.41911,                0.21726,                 1.3351,                0.74259,                 1.0139,             0.00038426,             0.00038426,             0.00038426
                     10,                 1.2658,                0.73731,                  1.004,                0.65847,                  0.399,                0.43009,                0.22506,                 1.3115,                0.73639,                 1.0059,             0.00035515,             0.00035515,             0.00035515
                     11,                 1.2599,                 0.7266,                 1.0026,                0.60062,                0.40717,                0.42355,                0.22239,                 1.3041,                0.72909,                 1.0118,             0.00032605,             0.00032605,             0.00032605
                     12,                 1.2461,                0.71088,                0.99697,                0.59461,                0.40977,                0.43124,                0.22735,                 1.3036,                0.72253,                 1.0117,             0.00029694,             0.00029694,             0.00029694
                     13,                 1.2382,                0.69825,                0.99342,                0.65092,                0.41482,                0.44688,                0.23132,                 1.3056,                0.72075,                 1.0057,             0.00026783,             0.00026783,             0.00026783
                     14,                 1.2295,                0.68762,                0.98862,                0.61692,                0.41434,                0.43602,                0.22999,                 1.2842,                0.71242,                 1.0035,             0.00023873,             0.00023873,             0.00023873
                     15,                 1.2188,                0.67638,                0.98197,                0.61975,                0.42796,                0.44015,                0.23395,                 1.2815,                0.70402,                0.99613,             0.00020962,             0.00020962,             0.00020962
                     16,                 1.2102,                0.66347,                 0.9786,                0.63864,                0.42556,                0.44408,                0.23738,                 1.2717,                0.69989,                0.99545,             0.00018052,             0.00018052,             0.00018052
                     17,                 1.2005,                0.65123,                0.97517,                0.60642,                0.41559,                0.44502,                0.23638,                 1.2797,                0.69455,                 1.0006,             0.00015141,             0.00015141,             0.00015141
                     18,                  1.192,                0.64125,                0.97508,                0.61835,                0.43387,                0.45604,                0.24115,                 1.2865,                0.69161,                 1.0042,              0.0001223,              0.0001223,              0.0001223
                     19,                 1.1828,                0.63018,                0.96933,                0.62206,                0.43634,                0.45511,                0.24199,                 1.2721,                0.68918,                  0.999,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     20,                 1.1759,                0.62011,                0.96783,                0.62154,                0.44171,                 0.4609,                0.24675,                 1.2614,                0.68484,                 0.9958,             6.4092e-05,             6.4092e-05,             6.4092e-05
