                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3544,                 1.0308,                 1.0611,                0.48276,                0.30549,                0.30647,                0.15252,                 1.3699,                 0.8728,                 1.0651,              0.0001959,              0.0001959,              0.0001959
                      2,                  1.387,                 0.9431,                 1.0809,                0.55619,                 0.3224,                0.31229,                  0.153,                 1.3659,                 0.8826,                 1.0633,              0.0003725,              0.0003725,              0.0003725
                      3,                 1.3853,                0.92697,                 1.0771,                 0.5456,                0.31982,                 0.3311,                0.16758,                 1.3436,                0.84631,                 1.0528,              0.0005297,              0.0005297,              0.0005297
                      4,                 1.3567,                0.89456,                 1.0635,                0.58471,                0.35535,                0.35521,                0.18102,                 1.3298,                0.81343,                   1.04,             0.00050068,             0.00050068,             0.00050068
                      5,                 1.3439,                0.86603,                 1.0575,                0.63624,                0.34411,                0.37166,                0.18478,                 1.3152,                0.79803,                 1.0386,             0.00050068,             0.00050068,             0.00050068
                      6,                 1.3187,                0.83735,                 1.0464,                0.62117,                 0.3514,                0.37696,                0.19361,                 1.2999,                0.77427,                  1.031,             0.00047158,             0.00047158,             0.00047158
                      7,                 1.3027,                0.81766,                 1.0395,                0.64398,                0.36546,                0.38718,                0.20181,                 1.2898,                 0.7676,                 1.0256,             0.00044247,             0.00044247,             0.00044247
                      8,                 1.2841,                0.79779,                 1.0303,                0.57305,                0.38591,                 0.3945,                0.20465,                 1.2822,                0.75637,                 1.0195,             0.00041336,             0.00041336,             0.00041336
                      9,                 1.2731,                0.78574,                 1.0252,                0.57363,                0.41129,                0.41335,                0.21331,                 1.2687,                0.73172,                 1.0145,             0.00038426,             0.00038426,             0.00038426
                     10,                 1.2629,                0.76977,                 1.0201,                0.59341,                0.39775,                0.41264,                0.21703,                 1.2552,                0.73002,                 1.0062,             0.00035515,             0.00035515,             0.00035515
                     11,                 1.2988,                0.76667,                 1.0263,                 0.5965,                 0.4089,                0.42528,                0.22156,                 1.2649,                0.73165,                 1.0125,             0.00032605,             0.00032605,             0.00032605
                     12,                 1.2888,                0.75251,                 1.0216,                0.62946,                0.40356,                0.43345,                0.22616,                 1.2614,                0.71747,                  1.012,             0.00029694,             0.00029694,             0.00029694
                     13,                 1.2781,                0.74275,                 1.0126,                0.65125,                0.40181,                0.43576,                0.22804,                 1.2553,                0.72095,                 1.0061,             0.00026783,             0.00026783,             0.00026783
                     14,                 1.2733,                0.73195,                 1.0127,                0.63499,                0.40681,                0.44092,                0.23049,                 1.2514,                0.70873,                 1.0077,             0.00023873,             0.00023873,             0.00023873
                     15,                 1.2615,                0.71616,                 1.0065,                0.60671,                0.42036,                0.43738,                0.23236,                  1.243,                0.70555,                 1.0014,             0.00020962,             0.00020962,             0.00020962
                     16,                  1.252,                0.70573,                 1.0033,                0.61948,                0.43595,                 0.4515,                 0.2379,                 1.2412,                0.69715,                 1.0043,             0.00018052,             0.00018052,             0.00018052
                     17,                 1.2395,                0.69028,                0.99744,                0.62044,                0.44955,                0.46565,                0.24549,                 1.2369,                0.68798,                 1.0033,             0.00015141,             0.00015141,             0.00015141
                     18,                 1.2307,                0.67812,                0.99528,                0.64571,                0.42083,                0.45821,                0.24319,                 1.2356,                0.67998,                 1.0029,              0.0001223,              0.0001223,              0.0001223
                     19,                  1.222,                 0.6683,                 0.9899,                 0.6197,                0.44126,                0.46602,                0.24535,                  1.226,                0.67252,                0.99937,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     20,                 1.2112,                0.65447,                0.98553,                0.64131,                0.43992,                0.47226,                 0.2526,                 1.2236,                 0.6662,                0.99681,             6.4092e-05,             6.4092e-05,             6.4092e-05
